name,best_val_loss,best_val_mae,train_time_sec,n_layers,units1,units2,units3,dropout,l2,dense_units,dense_activation,lr,batch_size,clipnorm,optimizer,weight_decay,loss_name,gaussian_noise_std
trial_14,0.03578035533428192,0.20014549791812897,527.2,1,128,96,32,0.0,1e-06,64,relu,0.0005,512,5.0,adamw,0.0001,huber1,0.0
trial_21,0.03591088950634003,0.1989387422800064,705.4,2,128,96,32,0.0,1e-06,64,relu,0.0005,512,5.0,adamw,0.0001,huber2,0.01
trial_15,0.03604436293244362,0.2009316384792328,491.4,1,128,96,32,0.0,1e-06,64,relu,0.0005,512,5.0,adamw,0.0001,huber2,0.01
trial_32,0.036045510321855545,0.1987462043762207,617.3,2,128,128,32,0.0,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_52,0.03607078641653061,0.19989855587482452,582.7,2,128,128,32,0.0,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_58,0.036155663430690765,0.19956794381141663,726.4,2,128,96,32,0.0,1e-06,64,relu,0.0005,512,2.0,adam,0.0001,huber1,0.0
trial_44,0.03618510812520981,0.20267286896705627,614.7,3,128,128,32,0.0,0.0,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_26,0.03639191761612892,0.19966013729572296,657.9,2,128,128,32,0.0,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_19,0.03641170263290405,0.20049802958965302,668.8,2,128,96,32,0.0,1e-06,64,relu,0.0005,512,5.0,adamw,0.0001,huber2,0.01
trial_22,0.03646191954612732,0.2009674459695816,793.1,3,128,96,32,0.0,1e-06,64,relu,0.0005,512,5.0,adamw,0.0001,huber2,0.01
trial_57,0.03653604909777641,0.20271442830562592,1094.8,3,128,32,32,0.0,1e-06,64,elu,0.0002,512,5.0,adamw,1e-06,huber2,0.01
trial_59,0.03655070438981056,0.20103435218334198,987.9,2,192,96,32,0.0,1e-06,0,gelu,0.0005,512,2.0,adamw,0.0001,huber2,0.0
trial_31,0.03656777739524841,0.2009451985359192,578.3,2,128,128,32,0.0,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_29,0.036568962037563324,0.1999291181564331,419.1,3,96,96,96,0.0,1e-06,256,relu,0.002,512,1.0,adamw,0.0,huber1,0.01
trial_12,0.03658512607216835,0.19916312396526337,542.7,1,128,96,32,0.0,0.0001,64,relu,0.0005,512,5.0,adamw,0.0001,huber1,0.0
trial_43,0.03662097454071045,0.20069558918476105,622.2,2,128,128,32,0.0,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_54,0.0366903655230999,0.201065793633461,544.2,2,128,128,32,0.0,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_17,0.03678017854690552,0.20218442380428314,267.0,1,96,96,32,0.0,1e-06,64,relu,0.001,512,5.0,adamw,0.0001,huber2,0.01
trial_10,0.03694996237754822,0.2009992003440857,671.6,1,128,96,32,0.0,0.0001,64,relu,0.0005,512,5.0,adamw,0.0001,huber1,0.0
trial_00,0.03892771154642105,0.19618061184883118,980.5,2,64,96,96,0.0,0.0001,256,relu,0.0001,128,0.5,adamw,1e-06,huber1,0.0
trial_30,0.039838191121816635,0.21229051053524017,558.1,2,128,96,96,0.1,1e-06,256,gelu,0.0005,128,5.0,adamw,1e-06,huber1,0.0
trial_33,0.051437392830848694,0.24869169294834137,580.1,2,128,128,32,0.2,1e-06,64,relu,0.001,512,5.0,adam,0.0001,huber1,0.01
trial_16,0.0600404217839241,0.2719162106513977,699.6,1,128,96,32,0.3,1e-06,64,gelu,0.0003,512,1.0,adamw,0.0001,huber2,0.01
trial_39,0.07647546380758286,0.3055884838104248,160.2,1,128,128,64,0.4,0.0,0,relu,0.0001,256,0.5,adamw,1e-05,huber1,0.05
trial_08,0.07879254221916199,0.21389755606651306,409.3,1,64,64,64,0.1,0.0,256,elu,0.0005,128,0.5,adamw,1e-06,mse,0.05
trial_46,0.0898851752281189,0.32531604170799255,625.8,3,192,128,32,0.4,0.0,0,relu,0.0001,512,5.0,adam,0.0001,huber1,0.0
trial_07,0.09891994297504425,0.31320399045944214,451.9,3,192,32,64,0.4,0.0001,128,elu,0.0001,128,2.0,adam,1e-05,huber1,0.0
trial_06,0.1645161509513855,0.3155771791934967,203.9,2,64,64,64,0.4,1e-05,0,leaky_relu,0.0001,256,0.5,adamw,1e-05,mse,0.01
trial_03,0.21585586667060852,0.21585586667060852,1068.4,3,192,32,96,0.1,0.0,0,elu,0.0003,128,0.5,adam,1e-05,mae,0.05
trial_01,0.23541341722011566,0.23499198257923126,1575.2,3,192,96,64,0.2,1e-06,0,relu,0.0002,512,1.0,adam,1e-05,mae,0.0
