name,best_val_loss,best_val_mae,train_time_sec,n_heads,d_model,n_blocks,ff_dim,patch_size,dropout,dense_units,dense_activation,lr,batch_size,clipnorm,weight_decay
trial_41,0.03541965410113335,0.19853942096233368,31.0,2,64,1,128,6,0.1,128,elu,0.002,512,2.0,1e-05
trial_97,0.036393605172634125,0.2025063931941986,21.0,2,64,1,256,4,0.0,128,relu,0.0005,512,2.0,1e-05
trial_36,0.036502473056316376,0.2017965465784073,28.6,2,128,1,128,6,0.1,128,elu,0.002,512,2.0,1e-05
trial_64,0.03653240576386452,0.2017318606376648,23.7,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_83,0.03669028729200363,0.20168784260749817,21.8,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_46,0.03670292720198631,0.20327089726924896,22.7,2,64,1,128,6,0.0,128,elu,0.001,512,2.0,1e-05
trial_70,0.03680184856057167,0.20103563368320465,22.9,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_101,0.03680792078375816,0.20353978872299194,20.2,2,64,1,256,4,0.0,128,relu,0.0005,512,2.0,1e-05
trial_128,0.036922719329595566,0.2049739956855774,21.4,8,64,1,512,4,0.0,128,relu,0.001,256,2.0,0.0
trial_112,0.036935873329639435,0.2017839103937149,23.0,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_62,0.036936983466148376,0.20194338262081146,18.8,2,64,1,128,6,0.0,128,relu,0.001,512,2.0,0.0
trial_69,0.03696170821785927,0.20315337181091309,18.2,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_59,0.03697721287608147,0.20273850858211517,19.0,2,64,1,128,6,0.0,128,relu,0.001,512,2.0,0.0
trial_74,0.036984845995903015,0.20333023369312286,20.9,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_67,0.037074677646160126,0.2035989761352539,18.2,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_141,0.03709537535905838,0.20330417156219482,19.5,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_66,0.037101250141859055,0.20409433543682098,18.9,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_88,0.03710566833615303,0.20362141728401184,17.5,4,64,1,128,6,0.0,128,relu,0.001,512,2.0,0.0
trial_113,0.03712056577205658,0.2038285732269287,17.6,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_117,0.03714323416352272,0.204165518283844,20.7,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_58,0.0371515229344368,0.20339755713939667,20.2,2,64,1,128,6,0.0,128,elu,0.001,512,2.0,0.0
trial_55,0.03719201311469078,0.2036389857530594,20.5,2,64,1,128,6,0.0,128,elu,0.002,512,2.0,1e-05
trial_42,0.03721063211560249,0.20360423624515533,23.8,2,64,1,128,6,0.1,128,elu,0.002,512,2.0,1e-05
trial_39,0.0372132733464241,0.20258913934230804,26.6,2,64,1,128,6,0.1,128,elu,0.002,512,2.0,1e-05
trial_75,0.03723243623971939,0.20405450463294983,18.6,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_111,0.037234071642160416,0.20378327369689941,18.9,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_109,0.03725409135222435,0.2033151090145111,22.6,2,128,1,256,6,0.0,128,relu,0.001,512,2.0,1e-05
trial_114,0.0373070053756237,0.20392175018787384,22.0,2,128,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_96,0.03732550889253616,0.20378124713897705,19.0,2,64,1,128,6,0.0,128,relu,0.001,512,2.0,0.0
trial_61,0.03741894289851189,0.20436306297779083,18.1,2,64,1,128,6,0.0,128,relu,0.001,512,2.0,0.0
trial_85,0.0374194011092186,0.20406989753246307,27.6,2,256,1,128,8,0.0,128,relu,0.0005,512,2.0,0.0
trial_43,0.03742989897727966,0.20520828664302826,22.1,2,64,1,128,6,0.1,128,elu,0.002,512,2.0,1e-05
trial_131,0.03743905574083328,0.20712949335575104,18.5,4,64,1,512,4,0.0,128,relu,0.001,256,2.0,0.0
trial_51,0.03750084713101387,0.2044343501329422,16.8,2,64,1,128,6,0.0,128,elu,0.002,512,2.0,1e-05
trial_71,0.0375383235514164,0.20432355999946594,20.2,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_135,0.037542831152677536,0.20432892441749573,21.3,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_81,0.03756250441074371,0.20489467680454254,20.4,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_142,0.037579216063022614,0.20516982674598694,18.5,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_63,0.03772871941328049,0.20507173240184784,19.6,2,64,1,128,6,0.0,128,relu,0.001,512,2.0,0.0
trial_72,0.03773410990834236,0.20382370054721832,25.4,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_20,0.037736788392066956,0.20600822567939758,26.5,2,128,2,512,12,0.1,64,gelu,0.002,512,5.0,0.0001
trial_125,0.037812553346157074,0.2058745175600052,19.8,2,256,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_49,0.03781888261437416,0.2064666897058487,27.9,2,64,1,128,6,0.0,128,elu,0.001,128,2.0,1e-05
trial_48,0.03787047415971756,0.20610786974430084,17.5,2,64,1,128,6,0.0,128,elu,0.001,512,2.0,1e-05
trial_133,0.03787199780344963,0.20791007578372955,18.9,8,64,1,512,4,0.0,128,relu,0.001,256,2.0,0.0
trial_16,0.03818519040942192,0.20700426399707794,33.1,2,128,3,512,12,0.1,128,gelu,0.002,512,5.0,0.0001
trial_28,0.03820459172129631,0.20797069370746613,25.6,2,128,2,256,8,0.1,0,elu,0.002,512,1.0,0.0001
trial_118,0.03820725902915001,0.20780721306800842,36.2,2,64,1,128,4,0.1,128,relu,0.001,128,2.0,1e-05
trial_09,0.038211993873119354,0.20806358754634857,34.5,2,128,3,128,12,0.1,64,gelu,0.002,512,2.0,0.0001
trial_04,0.038212068378925323,0.2075527012348175,40.5,4,64,3,512,12,0.0,128,gelu,0.001,128,5.0,0.0
trial_144,0.038220085203647614,0.20769302546977997,18.0,2,64,1,128,4,0.0,128,relu,0.001,512,2.0,0.0
trial_00,0.03826059028506279,0.20918448269367218,52.9,4,64,1,128,6,0.3,128,leaky_relu,0.002,128,2.0,0.0001
trial_95,0.03829442709684372,0.2065562754869461,21.5,2,256,1,128,6,0.0,128,relu,0.0003,512,1.0,1e-05
trial_37,0.038409072905778885,0.20885635912418365,42.7,2,128,1,256,6,0.2,128,elu,0.002,128,1.0,1e-05
trial_47,0.03847077861428261,0.20817777514457703,19.2,4,64,1,128,6,0.0,128,elu,0.001,512,2.0,1e-05
trial_23,0.03857550770044327,0.20885737240314484,26.8,2,128,2,512,12,0.1,64,gelu,0.002,512,5.0,0.0001
trial_17,0.038625676184892654,0.21075938642024994,33.1,2,128,2,512,8,0.1,128,gelu,0.002,512,2.0,0.0001
trial_29,0.03877128288149834,0.20922936499118805,21.2,2,128,1,256,8,0.3,0,elu,0.002,512,1.0,0.0001
trial_115,0.03887007758021355,0.2107405811548233,22.1,2,64,1,128,12,0.0,128,relu,0.001,512,2.0,0.0
trial_50,0.040320441126823425,0.2148793786764145,20.6,8,64,1,128,6,0.0,128,elu,0.001,256,2.0,1e-05
trial_18,0.04056183993816376,0.21563076972961426,43.1,2,128,4,128,4,0.1,64,relu,0.002,512,5.0,0.0001
trial_02,0.040573470294475555,0.21611188352108002,35.8,8,64,2,256,4,0.2,0,elu,0.001,512,2.0,1e-05
trial_86,0.04116801172494888,0.2183530479669571,27.6,2,64,1,128,6,0.3,128,relu,0.001,256,2.0,0.0
